action,existing_band_name,replacement_band_name,claimed_formation_place,spotify_id,origin_review_status,origin_alignment,evidence_url,selection_source,notes
update,Desolated,,Southampton,4aJzQA930qk1ZLTxZDllh6,reviewed,manual_review,https://musicbrainz.org/artist/d742a140-8510-46e7-9a10-f3127abc2a8f,manual identity and origin review,MusicBrainz formation evidence retained with explicit Spotify identity.
update,The Watersons,,Kingston upon Hull,59w4wGMXlt4HULBSTVxRAY,reviewed,manual_review,https://mainlynorfolk.info/watersons/biography/,manual identity and origin review,Hull folk group.
update,Red Guitars,,Kingston upon Hull,5Y4NtpzJGvNTitaOEAPQOm,reviewed,manual_review,https://musicbrainz.org/artist/9be15d7e-1a45-4706-a339-fc48f2a9cb6d,manual identity and origin review,MusicBrainz formation evidence retained with explicit Spotify identity.
update,TTNG,,Oxford,5TUa95aB5Vu2CzwCnZd6t0,reviewed,manual_review,https://musicbrainz.org/artist/544559db-c6c4-45d6-8435-d224e4f696e9,manual identity and origin review,Spotify uses the former name This Town Needs Guns.
update,The Candyskins,,Oxford,4o0ptlsLWeQDDMutHwPA20,reviewed,manual_review,https://open.spotify.com/artist/4o0ptlsLWeQDDMutHwPA20,manual identity review,Spotify biography identifies the Oxford band.
update,Cattle & Cane,,Middlesbrough,6a1PrMzNmhNE8HrO8burHc,reviewed,manual_review,https://www.allmusic.com/artist/cattle-cane-mn0003092536,manual identity and origin review,AllMusic gives Middlesbrough as formation place.
update,The Young'uns,,Stockton-on-Tees,1yyXgzBSMpwYqd2GZN4OCS,reviewed,manual_review,https://theyounguns.co.uk/about,manual identity and origin review,Stockton is within the Middlesbrough Functional Urban Area.
update,Mouses,,Billingham,4zCHl1iYtjNLcbAAmuPhKX,reviewed,manual_review,https://narcmagazine.com/interview-mouses-2/,manual identity and origin review,Billingham is within the Middlesbrough Functional Urban Area.
update,Cape Cub,,Middlesbrough,4xbJS00sHh5wBd5nYgsk8z,reviewed,manual_review,https://open.spotify.com/artist/4xbJS00sHh5wBd5nYgsk8z,manual identity and origin review,North-east act retained from the Middlesbrough editorial review.
update,Benefits,,Teesside,5nrO8X72nFeyu3sqYIkskQ,reviewed,manual_review,https://www.benefitstheband.com/copy-of-home,manual identity and origin review,Official biography describes the group as Teesside agitators.
update,Collectors Club,,Middlesbrough,4J5IRxSvhATb5y1Jv8dZdI,reviewed,manual_review,https://en.wikipedia.org/wiki/Collectors_Club,manual identity and origin review,Formed as a Middlesbrough sixth-form band.
update,The Chapman Family,,Stockton-on-Tees,3JDtBazV1J60MlLCXPf0xk,reviewed,manual_review,https://musicbrainz.org/artist/fed965be-1b9d-432b-9954-7f7e1b720a79,manual identity and origin review,MusicBrainz formation evidence retained with explicit Spotify identity.
replace,Shrug,Das Wanderlust,Middlesbrough,7Bc71APQFDwBuhFgyq617o,reviewed,manual_review,https://www.allgigs.co.uk/view/artist/54759/Das_Wanderlust.html,manual replacement,Replaced an ambiguous Spotify identity with a documented Middlesbrough band.
replace,The Wildcats of Kilkenny,The Flaming Mussolinis,Middlesbrough,7DMTNRuX4yxSzVMyP5H2be,reviewed,manual_review,https://en.wikipedia.org/wiki/The_Flaming_Mussolinis,manual replacement,Replaced a candidate without a verified Spotify identity.
update,Kassassin Street,,Southsea,76aX6lwh5f4lhzUQpHmXwH,reviewed,manual_review,https://www.victoriousfestival.co.uk/2016/08/2090/,manual identity and origin review,Southsea is within the Portsmouth Functional Urban Area.
update,Is Bliss,,Portsmouth,214LZis6BGqavismw079Yg,reviewed,manual_review,https://www.fredperry.com/eu-pt/subculture/articles/is-bliss,manual identity and origin review,Portsmouth-based trio.
update,Hallan,,Portsmouth,2cVFmKTidTQi4wVOWYcWi6,reviewed,manual_review,https://hotvox.co.uk/artist/hallan/,manual identity and origin review,Portsmouth-origin post-punk band.
update,Crystal Tides,,Portsmouth,5a94ihfgkkItCundHIPxP4,reviewed,manual_review,https://www.port.ac.uk/news-events-and-blogs/blogs/participation-and-performance/local-band-crystal-tides-record-debut-album-at-the-university-of-portsmouth-studios,manual identity and origin review,University of Portsmouth describes the group as a local band.
update,The Strange Death of Liberal England,,Portsmouth,5Sj1C0yicWZVw7ZqbuzNwg,reviewed,manual_review,https://musicbrainz.org/artist/83fb85cb-7242-41f6-8aef-64454fcecca5,manual identity and origin review,MusicBrainz formation evidence retained with explicit Spotify identity.
update,Emptifish,,Portsmouth,5DqwyRAxgS6l8FUkGRLvYZ,reviewed,manual_review,https://musicbrainz.org/artist/c135a966-9280-4925-958d-48016551e042,manual identity and origin review,MusicBrainz formation evidence retained with explicit Spotify identity.
replace,Torpedoes,Ivyrise,Portsmouth,3Cpe6aAAVacasDfOQgb3fq,reviewed,manual_review,https://en.wikipedia.org/wiki/Ivyrise,manual replacement,Replaced an ambiguous Spotify identity with a documented Portsmouth-origin band.
replace,Ricky,Acres,Portsmouth,3y43zXffnLmhyQD1K4QCmD,reviewed,manual_review,https://en.wikipedia.org/wiki/Acres_%28band%29,manual replacement,Replaced an unresolved same-name artist with a documented Portsmouth band.
update,Battery Hens,,Portsmouth,5C7dAXgTF5TguTFJaAn3KN,reviewed,manual_review,https://batteryhens.bandcamp.com/album/battery-hens-ep,manual identity and origin review,Official Bandcamp describes the act as Portsmouth-based.
